run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,iterations,purification_level
M5_N2_depolarizing_iid_p_p0.60000,5,2,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0866944004325428,0.9222399999999994,0.9133055995674566,0.0380204031999999,0.0397965842317122,0.9903122826676972,3,False,1,3
M5_N2_depolarizing_iid_p_p0.70000,5,2,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.0445652993580274,0.956848724279834,0.955434700641972,0.0319506447798133,0.0320927141154237,0.9985222077409088,3,False,1,3
M5_N2_depolarizing_iid_p_p0.80000,5,2,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.0214575949483612,0.9778673251028792,0.9785424050516384,0.0319506447798132,0.0320927141154237,1.000690359450029,3,False,1,3
M5_N2_depolarizing_iid_p_p0.90000,5,2,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0092681863999861,0.9897599999999992,0.990731813600013,0.0380204031999999,0.0397965842317122,1.0009818679275924,3,False,1,3
M5_N4_depolarizing_iid_p_p0.60000,5,4,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0396404349359749,0.9222399999999994,0.9603595650640246,0.0380204031999999,0.0316186664636201,1.0413336713480497,6,False,2,3
M5_N4_depolarizing_iid_p_p0.70000,5,4,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.0320911549121405,0.956848724279834,0.967908845087859,0.0319506447798133,0.0312544276849753,1.0115589021831526,6,False,2,3
M5_N4_depolarizing_iid_p_p0.80000,5,4,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.0320911549121405,0.9778673251028792,0.967908845087859,0.0319506447798132,0.0312544276849753,0.9898161235585078,6,False,2,3
M5_N4_depolarizing_iid_p_p0.90000,5,4,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0396404349359749,0.9897599999999992,0.9603595650640252,0.0380204031999999,0.0316186664636201,0.970295389856153,6,False,2,3
M5_N8_depolarizing_iid_p_p0.60000,5,8,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0329434270079352,0.9222399999999994,0.9670565729920646,0.0380204031999999,0.031267552329586,1.0485953471895224,9,False,3,3
M5_N8_depolarizing_iid_p_p0.70000,5,8,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.0313106938640354,0.956848724279834,0.9686893061359644,0.0319506447798133,0.0312500235373034,1.012374559902394,9,False,3,3
M5_N8_depolarizing_iid_p_p0.80000,5,8,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.0311894056926988,0.9778673251028792,0.9688105943073012,0.0319506447798132,0.0312500235373034,0.9907382826247668,9,False,3,3
M5_N8_depolarizing_iid_p_p0.90000,5,8,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0296308041180695,0.9897599999999992,0.9703691958819304,0.0380204031999999,0.031267552329586,0.9804085797384532,9,False,3,3
M5_N16_depolarizing_iid_p_p0.60000,5,16,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0316139803581844,0.9222399999999994,0.9683860196418148,0.0380204031999999,0.0312508396183186,1.050036888057139,12,False,4,3
M5_N16_depolarizing_iid_p_p0.70000,5,16,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.0312544219920493,0.956848724279834,0.96874557800795,0.0319506447798133,0.0312500001251306,1.012433369482799,12,False,4,3
M5_N16_depolarizing_iid_p_p0.80000,5,16,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.0312544219920493,0.9778673251028792,0.96874557800795,0.0319506447798132,0.0312500001251306,0.990671794771372,12,False,4,3
M5_N16_depolarizing_iid_p_p0.90000,5,16,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0316139803581844,0.9897599999999992,0.9683860196418148,0.0380204031999999,0.0312508396183186,0.9784048856710876,12,False,4,3
M5_N32_depolarizing_iid_p_p0.60000,5,32,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0313293120269932,0.9222399999999994,0.9686706879730064,0.0380204031999999,0.0312500401723137,1.0503455586105646,15,False,5,3
M5_N32_depolarizing_iid_p_p0.70000,5,32,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.0312503224018556,0.956848724279834,0.9687496775981436,0.0319506447798133,0.0312500000006652,1.012437653953363,15,False,5,3
M5_N32_depolarizing_iid_p_p0.80000,5,32,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.031249677600958,0.9778673251028792,0.9687503223990414,0.0319506447798132,0.0312500000006652,0.990676646545196,15,False,5,3
M5_N32_depolarizing_iid_p_p0.90000,5,32,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0311708578916834,0.9897599999999992,0.9688291421083164,0.0380204031999999,0.0312500401723137,0.9788525926571262,15,False,5,3
M5_N64_depolarizing_iid_p_p0.60000,5,64,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0312673340525662,0.9222399999999994,0.9687326659474336,0.0380204031999999,0.0312500019221021,1.0504127623475823,18,False,6,3
M5_N64_depolarizing_iid_p_p0.70000,5,64,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.0312500235071212,0.956848724279834,0.9687499764928784,0.0319506447798133,0.0312500000000035,1.0124379663274377,18,False,6,3
M5_N64_depolarizing_iid_p_p0.80000,5,64,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.0312500235071212,0.9778673251028792,0.9687499764928784,0.0319506447798132,0.0312500000000035,0.9906762928099252,18,False,6,3
M5_N64_depolarizing_iid_p_p0.90000,5,64,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0312673340525662,0.9897599999999992,0.9687326659474332,0.0380204031999999,0.0312500019221021,0.9787551183594349,18,False,6,3
M5_N128_depolarizing_iid_p_p0.60000,5,128,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0312537909272313,0.9222399999999994,0.9687462090727684,0.0380204031999999,0.0312500000919657,1.0504274473811253,21,False,7,3
M5_N128_depolarizing_iid_p_p0.70000,5,128,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.031250001713969,0.956848724279834,0.96874999828603,0.0319506447798133,0.03125,1.012437989103401,21,False,7,3
M5_N128_depolarizing_iid_p_p0.80000,5,128,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.0312499982860309,0.9778673251028792,0.968750001713969,0.0319506447798132,0.03125,0.9906763186018605,21,False,7,3
M5_N128_depolarizing_iid_p_p0.90000,5,128,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0312462094617604,0.9897599999999992,0.9687537905382392,0.0380204031999999,0.0312500000919657,0.9787764615040412,21,False,7,3
M5_N256_depolarizing_iid_p_p0.60000,5,256,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0312508291879197,0.9222399999999994,0.9687491708120805,0.0380204031999999,0.0312500000044002,1.0504306588437728,24,False,8,3
M5_N256_depolarizing_iid_p_p0.70000,5,256,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.0312500001249702,0.956848724279834,0.9687499998750294,0.0319506447798133,0.0312499999999999,1.0124379907640602,24,False,8,3
M5_N256_depolarizing_iid_p_p0.80000,5,256,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.0312500001249702,0.9778673251028792,0.9687499998750296,0.0319506447798132,0.03125,0.9906763167212992,24,False,8,3
M5_N256_depolarizing_iid_p_p0.90000,5,256,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0312508291879197,0.9897599999999992,0.9687491708120805,0.0380204031999999,0.0312500000044002,0.9787717939824616,24,False,8,3
M5_N512_depolarizing_iid_p_p0.60000,5,512,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0312501813736051,0.9222399999999994,0.9687498186263944,0.0380204031999999,0.0312500000002105,1.050431361279488,27,False,9,3
M5_N512_depolarizing_iid_p_p0.70000,5,512,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.0312500000091118,0.956848724279834,0.9687499999908872,0.0319506447798133,0.0312499999999999,1.0124379908851426,27,False,9,3
M5_N512_depolarizing_iid_p_p0.80000,5,512,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.031249999990888,0.9778673251028792,0.9687500000091118,0.0319506447798132,0.0312499999999999,0.9906763168584162,27,False,9,3
M5_N512_depolarizing_iid_p_p0.90000,5,512,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0312498186272853,0.9897599999999992,0.9687501813727146,0.0380204031999999,0.0312500000002105,0.978772814998298,27,False,9,3
M5_N1024_depolarizing_iid_p_p0.60000,5,1024,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0312500396732865,0.9222399999999994,0.9687499603267132,0.0380204031999999,0.03125000000001,1.0504315149274743,30,False,10,3
M5_N1024_depolarizing_iid_p_p0.70000,5,1024,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.0312500000006643,0.956848724279834,0.9687499999993352,0.0319506447798133,0.0312499999999999,1.0124379908939718,30,False,10,3
M5_N1024_depolarizing_iid_p_p0.80000,5,1024,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.0312500000006643,0.9778673251028792,0.9687499999993356,0.0319506447798132,0.03125,0.9906763168484186,30,False,10,3
M5_N1024_depolarizing_iid_p_p0.90000,5,1024,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0312500396732865,0.9897599999999992,0.9687499603267132,0.0380204031999999,0.03125000000001,0.9787725916653672,30,False,10,3
M5_N2_depolarizing_iid_p_p0.10000,5,2,depolarizing,iid_p,0.1,0.1,0.7082455967078174,0.9241889090017974,0.291754403292181,0.0758110909982014,0.5145392868552681,0.8550940885766707,0.2598455760829753,3,False,1,3
M5_N2_depolarizing_iid_p_p0.30000,5,2,depolarizing,iid_p,0.3,0.3,0.3276799999999996,0.5095031836055759,0.6723199999999995,0.4904968163944227,0.1453933567999998,0.2833303203217266,0.7295585679355413,3,False,1,3
M5_N4_depolarizing_iid_p_p0.10000,5,4,depolarizing,iid_p,0.1,0.1,0.7082455967078174,0.8970826078746768,0.291754403292181,0.1029173921253219,0.5145392868552681,0.8064646650420958,0.3527535179040779,6,False,2,3
M5_N4_depolarizing_iid_p_p0.30000,5,4,depolarizing,iid_p,0.3,0.3,0.3276799999999996,0.2630925966979279,0.6723199999999995,0.7369074033020715,0.1453933567999998,0.1046809483689681,1.096066461360769,6,False,2,3
M5_N8_depolarizing_iid_p_p0.10000,5,8,depolarizing,iid_p,0.1,0.1,0.7082455967078174,0.8855235541842428,0.291754403292181,0.1144764458157558,0.5145392868552681,0.7862263728719918,0.3923726412489207,9,False,3,3
M5_N8_depolarizing_iid_p_p0.30000,5,8,depolarizing,iid_p,0.3,0.3,0.3276799999999996,0.1443372542387284,0.6723199999999995,0.8556627457612711,0.1453933567999998,0.0557543294699373,1.272701608997608,9,False,3,3
M5_N16_depolarizing_iid_p_p0.10000,5,16,depolarizing,iid_p,0.1,0.1,0.7082455967078174,0.8802711347731811,0.291754403292181,0.1197288652268181,0.5145392868552681,0.7771280905276394,0.4103755209031556,12,False,4,3
M5_N16_depolarizing_iid_p_p0.30000,5,16,depolarizing,iid_p,0.3,0.3,0.3276799999999996,0.0900462713837845,0.6723199999999995,0.9099537286162148,0.1453933567999998,0.0405498627600722,1.3534533088651466,12,False,4,3
M5_N32_depolarizing_iid_p_p0.10000,5,32,depolarizing,iid_p,0.1,0.1,0.7082455967078174,0.8778189510696282,0.291754403292181,0.1221810489303703,0.5145392868552681,0.7729013042912025,0.4187804795803223,15,False,5,3
M5_N32_depolarizing_iid_p_p0.30000,5,32,depolarizing,iid_p,0.3,0.3,0.3276799999999996,0.0640393849228669,0.6723199999999995,0.9359606150771328,0.1453933567999998,0.035036136367023,1.3921356126206768,15,False,5,3
M5_N64_depolarizing_iid_p_p0.10000,5,64,depolarizing,iid_p,0.1,0.1,0.7082455967078174,0.8766599010285714,0.291754403292181,0.1233400989714272,0.5145392868552681,0.7709080973055278,0.4227531704051328,18,False,6,3
M5_N64_depolarizing_iid_p_p0.30000,5,64,depolarizing,iid_p,0.3,0.3,0.3276799999999996,0.0505412697825256,0.6723199999999995,0.949458730217474,0.1453933567999998,0.0328411962816015,1.412212533045982,18,False,6,3
M5_N128_depolarizing_iid_p_p0.10000,5,128,depolarizing,iid_p,0.1,0.1,0.7082455967078174,0.8761089077255232,0.291754403292181,0.1238910922744757,0.5145392868552681,0.7699616002546796,0.4246417222036012,21,False,7,3
M5_N128_depolarizing_iid_p_p0.30000,5,128,depolarizing,iid_p,0.3,0.3,0.3276799999999996,0.0430265206354792,0.6723199999999995,0.9569734793645206,0.1453933567999998,0.0319280445435978,1.4233898729243832,21,False,7,3
M5_N256_depolarizing_iid_p_p0.10000,5,256,depolarizing,iid_p,0.1,0.1,0.7082455967078174,0.8758462600594814,0.291754403292181,0.1241537399405174,0.5145392868552681,0.7695106597332639,0.4255419576861782,24,False,8,3
M5_N256_depolarizing_iid_p_p0.30000,5,256,depolarizing,iid_p,0.3,0.3,0.3276799999999996,0.038618737212905,0.6723199999999995,0.9613812627870948,0.1453933567999998,0.0315406611642892,1.4299459525034144,24,False,8,3
M5_N512_depolarizing_iid_p_p0.10000,5,512,depolarizing,iid_p,0.1,0.1,0.7082455967078174,0.8757208989144627,0.291754403292181,0.1242791010855363,0.5145392868552681,0.7692954805534522,0.4259716380735324,27,False,9,3
M5_N512_depolarizing_iid_p_p0.30000,5,512,depolarizing,iid_p,0.3,0.3,0.3276799999999996,0.0359365721788789,0.6723199999999995,0.9640634278211212,0.1453933567999998,0.0313749204503616,1.4339353697958142,27,False,9,3
M5_N1024_depolarizing_iid_p_p0.10000,5,1024,depolarizing,iid_p,0.1,0.1,0.7082455967078174,0.8756610274604988,0.291754403292181,0.1243389725395002,0.5145392868552681,0.7691927249855016,0.4261768498999462,30,False,10,3
M5_N1024_depolarizing_iid_p_p0.30000,5,1024,depolarizing,iid_p,0.3,0.3,0.32767999999999964,0.034262883917378736,0.6723199999999995,0.9657371160826209,0.14539335679999987,0.03130374791725477,1.4364247918887163,30,False,10,3
